MOF,O2,N2,CO2,CH4,H2,He
UKOLOV_clean,3047308.3534466675,1935072.5859478815,2081552.0376888516,736933.3120789172,,8948686.987742309
UKOZOL_clean,2626706.5922326143,2084208.4888820648,1741023.8941074111,,,
UKUBIM_clean,1478286.354836347,1069257.6275974107,1213139.5076081064,,,5447357.557915237
UKUBOS_clean,1215785.4478013457,937939.3960812482,1005847.0665042598,345327.2795403225,,4632555.097052891
UKUBUY_clean,1233001.479692256,891818.8989780297,955563.546818363,,,5238419.464475547
UKUCAF_clean,919419.8116902596,638091.495049977,731918.6690907953,,,4560528.483176148
UKUDEL_clean,2492278.660967108,1696443.7851641166,1075947.7522336026,,,20077594.62579862
UKULOB01_clean,,,,,277521.3500972425,
UKULOB_clean,,,,,693191.2544430897,
UKUMAO01_clean,,,,,228124.4858241247,
UKUPEX_clean,1540088.381916156,749202.1564331728,850120.9662589543,231794.99513476127,,7946265.497474771
UKUPIB_clean,7525277.792320477,6083088.862558727,4789672.018701102,,,
UKUPUL_clean,4517508.134055703,2903383.3159720153,3282578.159296382,2485725.068611499,,18951324.248727847
UKUTEB_clean,935302.1501865061,364003.0477182313,395553.1399201821,86232.92141609058,,6842067.3439329695
ULAQAB_clean,,458143.91015157924,,,,
ULAQEF_clean,,360263.7246123121,,,,
ULASAD_clean,2049366.2424566739,1782717.5509242145,888499.0576238666,,,22192828.00779619
ULEGOH_clean,,,,,3928800.2398006986,
ULEPIM_clean,348801.68535163364,220516.11347411227,185015.86043602115,23615.772376557783,1646001.887558268,2004376.0002343196
ULILEI_clean,,,,,10061452.502928562,
ULIMIN_clean,333597.21892483946,159432.43152641668,186341.3165402138,37406.86534002238,,1769254.3965569362
ULOGAE_clean,15436681.031103035,11859209.118249623,9165995.792655416,7569915.689205208,,89289765.95206179
ULOGIL_clean,2124071.393770288,1569865.1019863114,1204789.4139394655,436527.5249354903,,10371444.981997004
ULOJUC01_clean,8325215.608352339,8106028.4099519495,6752648.844785269,4847787.787929361,,31295767.13626188
ULOJUC_clean,8235491.646415937,6329601.610312553,5159714.161140589,4440642.31365265,,32463239.652253628
ULOKAJ_clean,7841967.39034423,6785628.422629296,4974716.511515125,4402641.756365785,,43528917.233954586
